source,date,text,likes,topic,trend_score
youtube,2023-08-24,Makasih ya kak penjelasannya sangat mudah dimengerti,0.0,penjelasan_diabetes_mellitus,21.7
youtube,2023-08-22,sangat bermanfaat,0.0,penjelasan_diabetes_mellitus,22.35
youtube,2023-08-09,"Dok, izin bertanya kalau air kencing dikerumunin semut itu artiya diabetes ya dok? Terima kasih dok semoga sukses &amp; sehat selalu, salam hangat dari Kalimantan 🙏",0.0,penjelasan_diabetes_mellitus,21.7
youtube,2023-07-28,"terimakasih ilmunya dokter, sehat terus dokter",1.0,penjelasan_diabetes_mellitus,19.15
youtube,2023-06-23,Saya pernah melihat video di youtube ttg bagaimana insulin tidak mampu membawa gula di dalam darah masuk ke dalam sel karena adanya intramyocelluler lipid. Karena itu kadar gula di dalam darah bertambah terus tidak tercerna menjadi energi. Video² ttg intramyocelluler lipid ini kebanyakan dlm bhs inggris. Tapi saya juga satu penjelasan dari akun body kalibrasi ttg lemak pada sel ini yg mencegah insulin membawa gula ke dalam sel.,0.0,penjelasan_diabetes_mellitus,17.95
youtube,2023-06-22,"Malam dr sung, saya Ridwan seorang penderita Diabetes, Cholestrol dan Asam Urat. Apa makanan yang dapat saya makan dan makanan yang harus saya hindari?",0.0,penjelasan_diabetes_mellitus,17.8
youtube,2023-06-07,Kalau madu boleh dokter cuma 1 sendok tiap pagi,0.0,penjelasan_diabetes_mellitus,17.0
youtube,2023-05-22,Ttimksih dok sngt mudah di pahami...tdinya gula saya sangat tinggi. Stlh saya rajin jln pgi hmpir stiap pagi stlah sholat subuh -+ 5-6km gula saya sdh normal .+ Mengurangi yg mnis&quot;.tks dok🙏🙏,4.0,penjelasan_diabetes_mellitus,15.4
youtube,2023-04-02,1. Apa penyebab diabetes melitus sebenarnya?<br>2. Apa penyebab diabetes melitus kering atau basah?,0.0,penjelasan_diabetes_mellitus,12.0
youtube,2023-01-06,dokter sy mau bertanya:kenapa sy sering pusing dan lemas serta mengantuk setelah makan. apa karna sy kurang tidur krn memang sy  tdk pernah tidur cukup paling lama 5_6 jam atau krn ada penyakit lain dok.,0.0,penjelasan_diabetes_mellitus,11.75
youtube,2022-12-02,Bukan penyebab obat ny apa,0.0,penjelasan_diabetes_mellitus,16.75
youtube,2022-09-04,Pengobatan barat dan timur???,0.0,penjelasan_diabetes_mellitus,15.35
youtube,2022-08-19,makasih Dok sangat bermanfaat ilmu yg diberi kan,0.0,penjelasan_diabetes_mellitus,16.15
youtube,2022-08-18,minum mizuco ka hidup sehat tanpa obat,0.0,penjelasan_diabetes_mellitus,16.65
youtube,2022-07-17,"Mulut adalah sumber kesehatan dan sumber kesakitan &quot;Ade Rai&quot;<br>Otot adalah tempat pembuangan gula terbesar, jadi olahraga terbaik untuk org yg diabet adalah gym. Karena gym memerlukan tenaga dari gula. <br>Dan jangan lupa pola makan dijaga",0.0,penjelasan_diabetes_mellitus,14.55
youtube,2022-06-05,Maaf dokter mau tanya <br>Benarkah kata org zaman dulu klo kita setelah makan nasi Trus tidur bisa menaikan kadar gula dlm tubuh<br>Minta penjelasan nya dokter🙏mksh☺️,1.0,penjelasan_diabetes_mellitus,18.65
youtube,2023-01-08,kalau abis makan tidur dan selalu begitu bisa jadi . cuma kalau jarang jarang mah gpp.,0.0,penjelasan_diabetes_mellitus,12.55
youtube,2022-04-21,Dok coba dong jelasin kenapa ada orang yang ga bisa berkeringat walaupun udah olahraga!,0.0,penjelasan_diabetes_mellitus,19.95
youtube,2022-03-31,Sukses selalu,0.0,penjelasan_diabetes_mellitus,21.15
youtube,2022-03-31,Setuju sekali dr...,0.0,penjelasan_diabetes_mellitus,21.15
youtube,2022-02-05,"byk mksih dokter,nasehatya,,,saya lebih hati2jaga badan",0.0,penjelasan_diabetes_mellitus,18.1
youtube,2022-02-03,"Pagi dok , saya komplikasi ,jantung sdh psg ring ,dm ,hypertensi ,fungsi ginjal terganggu.dll , rajin mkn obt rs , <br>Apakah saya bisa konsumsi herbalife nutrition ?tolong pencerahan dok",0.0,penjelasan_diabetes_mellitus,23.0
youtube,2023-02-18,Minum teh kelor saja pak. Rebus bentar daun kelor segenggam. Hangat diminum daun utk lalapan.. setiap hari,0.0,penjelasan_diabetes_mellitus,12.25
youtube,2022-01-17,great info!! thanks dok,0.0,penjelasan_diabetes_mellitus,17.6
youtube,2022-01-07,"Makasi dok atas ilmunya, salam dari anggota PPNI yg kini jadi petani😁",0.0,penjelasan_diabetes_mellitus,17.35
youtube,2021-12-28,Dok sy penderita diabetes kaki saya sering panas seperti terbakar terutama telapak kaki gimana cara menghilangkan rasa panas ini,0.0,penjelasan_diabetes_mellitus,19.55
youtube,2021-12-05,dokter saya kan katanya kena gula tpi tak pernah pipis malam dan haus serta bnyk makan lalu kenapa ya dok mohon jwb nya dokter,0.0,penjelasan_diabetes_mellitus,19.1
youtube,2021-11-19,"Terima kasih dokter 👍👍 ilmu baru ,agar lebih disiplin dalam menerap kan gaya  hidup  dan pola makan ...",0.0,penjelasan_diabetes_mellitus,23.5
youtube,2021-10-30,Semoga lekas sembuh untuk para pasien,1.0,penjelasan_diabetes_mellitus,19.05
youtube,2021-10-24,Bahas jg dong dok dm tipe 1 🥺,0.0,penjelasan_diabetes_mellitus,15.05
youtube,2021-10-07,makasii dok sangat berguna,0.0,penjelasan_diabetes_mellitus,22.85
youtube,2021-10-03,Dok saya penderita diabet udah 7th lebih sekarang tangan sama kaki kaya yg kesemutan kenapa ya?,0.0,penjelasan_diabetes_mellitus,19.2
youtube,2021-10-03,"Kenapa kalau di laboratorium gula darah puasa normalnya 100, gula darah setelah 2 jam makan 140... Mohon dijawab dok, terima kasih...",0.0,penjelasan_diabetes_mellitus,19.2
youtube,2021-10-02,Bagemana tidak..orng jawa jaman dulu sudah makan pecel(lotek)..itu lo...sayuran yg bumbuny pke kacang dimakan siang2 sueger....itu dalemnya kan...sayur2an kacang2an...,0.0,penjelasan_diabetes_mellitus,20.7
youtube,2021-09-24,"Dok...saya menderita diabetes.,.tp saya tidak pernah mengalami gejala&quot; seperti haus,sering kencing,n makan banyak...bahkan waktu gula darah saya naik sampai diatas 200 mg/dl tidak merasa apa&quot;",0.0,penjelasan_diabetes_mellitus,22.75
youtube,2023-06-14,Boleh tau pola makan nya bagaimana sampai bisa kena diabetes?,0.0,penjelasan_diabetes_mellitus,13.7
youtube,2021-08-12,Terimakasih Dokter 🙏,0.0,penjelasan_diabetes_mellitus,23.95
youtube,2021-08-11,Terimakasih dr sung Sangat bermanfaat sekali pencerahannya.,0.0,penjelasan_diabetes_mellitus,22.5
youtube,2021-08-07,"Dok, dikatakan berhenti konsumsi obat tu kadar gula berapa<br>....apa jika dikatakan minum obat apa boleh kitu minum obat herbal...",0.0,penjelasan_diabetes_mellitus,23.2
youtube,2021-08-06,deskripsinya sangat bermanfaat dan membantu. trimakasih banyak Dok.,0.0,penjelasan_diabetes_mellitus,22.15
youtube,2021-07-22,Trimakasih,0.0,penjelasan_diabetes_mellitus,24.8
youtube,2021-07-15,Terima kasih dokter pertanyaan sudah terjawab semuga bermamfaat,1.0,penjelasan_diabetes_mellitus,22.25
youtube,2021-07-07,Terima kasih infonya dr Sung,0.0,penjelasan_diabetes_mellitus,21.5
youtube,2021-07-04,ikuti dokter sung kawan,1.0,penjelasan_diabetes_mellitus,22.6
youtube,2021-07-04,"trims baxak pak dokter,bru<br>sy dpt info sebagus ini",1.0,penjelasan_diabetes_mellitus,22.6
youtube,2021-06-21,Docter sung saya mau tanya nih..kenapa disaat saya cek up gula darah sebelum dan sesudah makan kok hampir sama?contoh sebelum makan 98 sesudah makan 100,0.0,penjelasan_diabetes_mellitus,16.0
youtube,2021-06-12,"Dok saya tidak suka manis, tapi guladarah saya tinggi sampai 400, itu sebabnya apa dok, terima kasih",0.0,penjelasan_diabetes_mellitus,20.55
youtube,2021-05-30,THANKS DOK,0.0,penjelasan_diabetes_mellitus,17.55
youtube,2021-05-05,Saya tidak haus tidak lapar tpi kna gula darah,0.0,penjelasan_diabetes_mellitus,17.45
youtube,2021-04-26,Saya bergejala tapi kalau tes lab hba1c normal ya,0.0,penjelasan_diabetes_mellitus,18.05
youtube,2021-04-24,Pak dokter.saya minta untuk masukkan ke group WA,0.0,penjelasan_diabetes_mellitus,14.85
youtube,2021-04-18,Terimakasih pak dokter...,0.0,penjelasan_diabetes_mellitus,16.75
youtube,2021-03-21,Sangat bermanfaat dr.Sung,0.0,penjelasan_diabetes_mellitus,15.25
youtube,2021-03-21,"Dua² tipe tersebut, namanya sana? <br>Diabetes melitus?",0.0,penjelasan_diabetes_mellitus,15.25
youtube,2021-03-14,"Sangat bermanfaat, thanks Dr sung👍",0.0,penjelasan_diabetes_mellitus,17.5
youtube,2021-03-12,Trima kasih dok....jelas sekali,0.0,penjelasan_diabetes_mellitus,22.7
youtube,2021-02-11,Oh ya dok emang bnr penyakit diabetes itu penyebab utama y karena faktor genetik..,0.0,penjelasan_diabetes_mellitus,20.65
youtube,2021-02-11,Terima kasih dok atas   penjelasan y.,0.0,penjelasan_diabetes_mellitus,20.65
youtube,2021-02-03,Trmksh dok,0.0,penjelasan_diabetes_mellitus,15.95
youtube,2021-01-30,"Benar sekali 👍<br>Kemarin sy bc hasil penelitian kementerian kesehatan sambiloto mampu menurunkan gula darah ( diabetes) sampai 36% sy juga bc hal penelitian berbagai universitas yg kesimpulan nya untuk berbagai macam penyakit.<br>Sy juga bc statement Rektor universitas Airlangga bahwa sambiloto bisa mencegah menyembuhkan covid.<br>Ada juga testimoni dokter Nyoman suci widyastati ttg si raja pahit ini tlh menyembuhkan covid,demam dll<br><br>stlh membaca itu semua sy kmdn mghubungi teman yg Herbalis trnyata dia buat racikan sempurna yaitu sambiloto, hobattusauda ( obat segala penyakit kecuali kematian HR Bukhari ) &amp; Ginseng.<br>Hub bpk Andin jika mau obat nya di WA 087877096042<br><br>tuk cegah semua sakit di atas Sy beli 3 botol tuk klrga krna gak mahal ( Alhamdulillah badan kok sehat &amp; fit banget, entang rasanya, cuaca hujan, angin kencang gini biasanya kumat sakit aku,eee engggak )",0.0,penjelasan_diabetes_mellitus,14.8
youtube,2021-01-21,Diabetes.hipertensi.jantung.asma.parkinson dll.enggak bisa sembuh dan harus minum obat seumur hidup,0.0,penjelasan_diabetes_mellitus,16.85
youtube,2021-01-13,Kamsia Dokter SUNG !!!,0.0,penjelasan_diabetes_mellitus,17.2
youtube,2021-01-08,Intinya diabetes disebabkan oleh terlalu banyak memakan maknn yg banyak mengandung kadar gula tinggi.... <br>Kalo pankreas sudah rusak gimana cara memperbaiki nya,1.0,penjelasan_diabetes_mellitus,15.2
youtube,2021-01-06,Puji tuhan. Gula darah 2j makan 260. sy diet+ jaga makan udah normal lagi.,0.0,penjelasan_diabetes_mellitus,14.05
youtube,2021-03-16,Maksudnya gimana pak,0.0,penjelasan_diabetes_mellitus,25.5
youtube,2021-03-17,"Gula darah 2 jam setelah makan kemarin sampai 260. Dgn diet dan jaga makan, kembali normal. Tapi ya gitu diabet tetap diabet, klo makan ga dijaga gula naik lagi. Haha, intinya mulut harus dijaga gaboleh ngegas terus.",0.0,penjelasan_diabetes_mellitus,24.4
youtube,2021-01-05,Trimakasih dokter...sangat bermanfaat bangeeddd,0.0,penjelasan_diabetes_mellitus,16.9
youtube,2020-12-23,Selamat mlm dok.. saya perokok dan kopi.jarang makan tapi sy gemuk.akhir akhir ini bau mulut yg keluar dari kerongkongan bau nya kayak bangkai. Solusinya dok?? Terimakasih sebelumnya,0.0,penjelasan_diabetes_mellitus,16.8
youtube,2020-12-19,Terima kasih dokter skrg sy faham mengenai diabetes,0.0,penjelasan_diabetes_mellitus,18.05
youtube,2020-12-15,Penyakit gula kolestrol darah tinggi itu mebayakan,1.0,penjelasan_diabetes_mellitus,16.95
youtube,2020-12-14,"Aslmlkum wb dok saya mau tanya dok, apakah penderita dia tes itu boleh makan sgala buah misal nya sawo jeruk anggur dn lain,, trmksh",0.0,penjelasan_diabetes_mellitus,17.85
youtube,2020-12-12,"dok umur saya 24 tahun skrng, saya mengalami salah satu ciri-ciri yg dok katakan yaitu buang air kecil terus menerus, apakah saya mulai terkena diabetes ?",0.0,penjelasan_diabetes_mellitus,17.7
youtube,2020-12-06,Assalamualaikum/salam sejahtera..Sy dari HQ Oraz Kapsul Peria Katak..Tuan/puan nak tahu info lebih lanjut ORAZ PERIA KATAK klik link Whatsapp utk sbrang pertanyaan. Terima Kasih<br>.<br>​@t​,0.0,penjelasan_diabetes_mellitus,18.2
youtube,2020-11-30,Buah pisang apa baik untuk org diabetes,1.0,penjelasan_diabetes_mellitus,21.05
youtube,2020-11-30,"Org yg kena diabetes  yg tinggi 400 ,tubuhnya gatal gatal",0.0,penjelasan_diabetes_mellitus,21.05
youtube,2020-11-20,"Pentingbagi penderita diabetes bahwa  ,<br>Cermati apa spesifikasi,character obatnya,dan bagaimana obat bekerja ditubuh<br>anda ? dan Apa efeknya dari hasil minum obat tsb ?Selesaikan mencermati video<br>episode pertama sampai episode delapan.Dan video berjudul  Aksesmudah masuk kedalam channel ini di youtube harap ketik suharyanto445",0.0,penjelasan_diabetes_mellitus,21.25
youtube,2020-11-07,&quot;Kau adalah apa yang kau makan&quot;,0.0,penjelasan_diabetes_mellitus,18.0
youtube,2020-11-05,"Salam sehat dokter,,maaf mama saya keturunan diabetes ,tiap kali pemeriksaan darah lengkap,,hasil tes semua normal tp mama merasakan sakit dlm tubuh terutama dlm tulang dr pinggang sampe jari2 kaki,,akhirnya mama mengkonsumsi obat diabetes dan makanannya pun di atur,,kamsia utk pembelajarannya dokter",0.0,penjelasan_diabetes_mellitus,21.05
youtube,2020-10-23,Sangat jelas dan bermanfaat.... Maturnuwun dokter...,0.0,penjelasan_diabetes_mellitus,17.05
youtube,2020-10-19,"Dr saya udah 3 hr kecing trs menerus tenggorokan rasax haus pinginx minum &quot; trs barusan aq cek ternyata gula darahx 309 , kolertrol 180 , asam urat 3,6 , setelah aq minum obat  kencingx udah mendingan dan udah tdk haus lg , apa obatx berarti udah reaksi t dokter , tlg penjelasanx",0.0,penjelasan_diabetes_mellitus,18.5
youtube,2020-10-17,Iya dok suami saya sekarang berbat jln,0.0,penjelasan_diabetes_mellitus,18.0
youtube,2020-10-16,Tq dokter,0.0,penjelasan_diabetes_mellitus,18.0
youtube,2020-10-15,"Jadi cepet tua gan .. saya baru tahu ini yg sy alami diabetes ternyata.. sering haus sering kencing, pengen ngemil, sering kesemutan, gampang lelah .. udah deh besok ga minum tuak lagi wkwkwk... <br>Mata punya freckles sama rambut beruban...",0.0,penjelasan_diabetes_mellitus,19.45
youtube,2020-10-15,Terima kasih dokter atas pemaparannya.,0.0,penjelasan_diabetes_mellitus,19.45
youtube,2020-09-26,Ijin bertanya dok.Penderita diabetes dalam semalam pipis brp kali ?,0.0,penjelasan_diabetes_mellitus,18.2
youtube,2020-09-20,"Dok, ibu saya punya penyakit diabet kering, ibu saya pernah pake suntik insulin dan sekarang udah ngga pake, tapi sekarang tulang tulang dan sendinya ngerasa pegel yg mungkin lebih sakit kadang sampe nangis, apa bener itu dari efek insulin dulu? Tolong penjelasannya dok",0.0,penjelasan_diabetes_mellitus,15.15
youtube,2020-09-12,penjelasan yang sangat detail dan mudah dipahami...terima kasih ilmunya Dr. sung..,6.0,penjelasan_diabetes_mellitus,15.25
youtube,2020-09-10,"Mau tanya dok , apakah boleh makan pisang, telor .",0.0,penjelasan_diabetes_mellitus,16.1
youtube,2020-09-09,"Dok tanya bagi penderita diabetes,<br>1. Apakah boleh minum trus saat haus atau ada takarannya sehari harus minum 2ltr atau 3ltr?<br>2. Apakah boleh minum tiap hari teh manis pakai gula mera?<br><br>3.bagai mana menaikkan berat badan  makanan apa yg hrs di makan dan mknn apa yg di pantang?<br>Mksh...",0.0,penjelasan_diabetes_mellitus,17.15
youtube,2020-09-06,"Penjelasan yg di beri kan,menyampai kan lnformasi lebih lanjut,mantap &amp; jelas.<br>Okey,thank you Sahabat baik ku.😊.<br>&quot;Salam From Malaysia.&quot; 🇱🇷 😊.<br>From - your best friend, Ani.<br>Salam hebat luar biasa...!!",1.0,penjelasan_diabetes_mellitus,17.0
youtube,2021-02-05,Gg bndera inggeris,0.0,penjelasan_diabetes_mellitus,18.4
youtube,2020-08-28,Tks dr Sung utk infonya,0.0,penjelasan_diabetes_mellitus,15.15
youtube,2020-08-25,Abang saya baru meningal dok karna dia betes kering.,0.0,penjelasan_diabetes_mellitus,14.6
youtube,2020-08-23,"<a href=""https://www.youtube.com/watch?v=_wNmA_cCgGU"">https://youtu.be/_wNmA_cCgGU</a>",0.0,penjelasan_diabetes_mellitus,12.35
youtube,2020-08-19,KENAPA YAH DIABETES ADA DI DUNIA INI 😭,0.0,penjelasan_diabetes_mellitus,15.95
youtube,2020-12-29,Xde kn bgus😅,0.0,penjelasan_diabetes_mellitus,17.95
youtube,2020-08-15,Hahahaaa.. Sgt faham dok.. Meskipun telat nontonnya..,0.0,penjelasan_diabetes_mellitus,13.5
youtube,2020-08-15,"<a href=""https://www.youtube.com/watch?v=7BIKuZMaj0s"">https://youtu.be/7BIKuZMaj0s</a><br>@afc.petrus<br>WA. 081280977225",0.0,penjelasan_diabetes_mellitus,13.5
youtube,2020-08-14,Dok makanan yang tepat apa Dok .dan kenapa berat badan tidak bertambah,0.0,penjelasan_diabetes_mellitus,11.85
youtube,2020-08-14,🙏,0.0,penjelasan_diabetes_mellitus,11.85
youtube,2020-08-14,"Dokter Sung pajenengan pernah menjelaskan akibat terjadinya penyakit dibetes penjelasan dari panjenegan : &quot; protein diubah menjadi = glukosa = gula dalam darah = melalui penyaringan insulin = terjadinya kerusakan pada pankreas di sebabkan glutatonin / glikogen yang masuk kedalam sel2 dalam darah.<br>  <br>kalau saya bisa menjelaskan lebih rinci apakah saya akan di bebaskan Bapak Dokter 🙏 harapan saya di bebaskan geh <br><br>kesimpulan saya pribadi tetap mencontek panjenegan geh 🙏<br><br>terjadinya Diabetes.<br>dibetes atau penyakit diabetes itu timbul karena adanya kegagalan pada bagian kelenjar pankreas,yang letaknya jauh di dalam perut.salah satu fungsi dari kelenjar ini adalah untuk menghasilkan hormon yang di namai Insulin,yang langsung masuk kedalam aliran darah.sejumlah gula yang kita makan misalnya terdapat banyak macam - macam makanan geh kan.yang makanan tersebut dapat menghasilkan energi.selebihnya ( ini ilmu Dokter Sung) di simpan dalam hati sebagai senyawa yang di namakan glutatonin atau glikogen,yang nantinya akan di ubah kembali menjadi gula bila di perlukan dengan tujuan untuk menghasilkan energi.tetapi jika kekurangan Insulin dalam tubuh gula yang tadinya di simpan atau sebenarnya disimpan untuk penggunaan di waktu yang akan datang,akan tetapi berada dalam aliran darah ? sejumlah gula yang berlebihan/ berlebih ini akan keluar dari badan kedalam air seni tetapi jumlah tetap tidak dapat diterima masih terdapat dalam aliran darah dan inilah yang menyebabkan seseorang itu mengalami timbulnya gejala diabetes.<br><br>kerena ibu saya juga mengalami hal serupa mohon bimbingan jika saya salah jika benar saya mohon di bebaskan ? geh 🙏",0.0,penjelasan_diabetes_mellitus,11.85
youtube,2020-08-14,Dok kadar gula darah yg normal itu berapa sih dok??? Makasih dok,0.0,penjelasan_diabetes_mellitus,11.85
youtube,2020-07-31,"<a href=""https://www.youtube.com/watch?v=NkPv5_wE9Gw"">https://youtu.be/NkPv5_wE9Gw</a><br>diabetes  dan permasalahan 1 (pertama)<br>diabetes merupakan masalah yang komplex yang harus di tangani secara bersama sama sejak dini. <br>Penanganan yang baik merupakan cara jitu mencegah komplikasi <br>Stroke <br>Serangan jantung koroner <br>Kelumpuhan <br>Kebutaan <br>Gagal ginjal sehingga harus cuci darah<br><br><a href=""https://www.youtube.com/watch?v=N1HFOXX3sX4"">https://youtu.be/N1HFOXX3sX4</a><br>Diabetes dan permasalahan 2<br>Video ini merupakan kelanjutan dari video sebelumnya. Dimana dibahas soal diabetes yang sering menjadi salah kaprah soal penanganan penyakit ini.<br>Pengertian yang benar akan membuat kondisi kesehatan pasien diabetes lebih baik.<br><br>Jangan lupa menonton video 1 dan 2 ya<br>Jangan lupa subscribe like dan komentarnya di kolom pendapat.",0.0,penjelasan_diabetes_mellitus,12.85
youtube,2020-07-30,"Penjelasan yg mantap,bermanfaat &amp; jelas,mengenai Diabetes Mellitus.<br>Okey,thank you Sahabat baik ku.😊.<br>&quot;Friendship Forever.&quot;😊😊💝.<br>From - your best friend, Ani.",0.0,penjelasan_diabetes_mellitus,12.05
youtube,2020-07-17,Trm ksh dok smg bermamfaat,0.0,penjelasan_diabetes_mellitus,16.75
youtube,2020-07-12,"Thank you My best friend,di atas setiap penjelasan nya.Mengenai Diabetes Mellitus.<br>Okey,thanks ya Sahabat baik ku.😊.<br>&quot;Friendship Forever.&quot;😊😊💝.<br>From - your best friend, Ani,Trengganu, Malaysia.<br>Salam hebat luar biasa...!!",0.0,penjelasan_diabetes_mellitus,14.65
youtube,2020-08-21,"Memberi kan informasi mengenai Diabetes Mellitus secara terperinci,mantap &amp; jelas.<br>Okey,thank you Sahabat baik ku.😊.<br>From - your best friend, Ani.😊.",0.0,penjelasan_diabetes_mellitus,16.55
youtube,2020-07-10,Dok...gmn utk kesehatan pankreas.,0.0,penjelasan_diabetes_mellitus,15.05
youtube,2020-06-23,"Dok coba bahas orang yang biasa mukbang makan dengan porsi jumbo, apakah ada kelainan atau bagaimana?",1.0,penjelasan_diabetes_mellitus,12.15
youtube,2020-08-30,"<a href=""https://www.youtube.com/watch?v=MBSKtUbcT30"">https://youtu.be/MBSKtUbcT30</a>",0.0,penjelasan_diabetes_mellitus,15.7
youtube,2020-06-19,Tks dok infonya,0.0,penjelasan_diabetes_mellitus,12.5
youtube,2020-06-15,yang mau saya tanyakan apakah dengan kadar gulaku yg 250 aku masih bisa sembuh total dok klo aku bisa menjaga pola makan saya.dan makanan apa yg baik untuk saya dok,0.0,penjelasan_diabetes_mellitus,15.55
youtube,2020-06-15,nah semalem aku cek gula darah ku.aku kaget dok.naik jadi 250.emang aku akui dokkarna aku mrasa aman.habis lebaran ini aku suka nyoba bikin kuwe kuwe.otomatis aku makan juga kuwe kuwe itu.,0.0,penjelasan_diabetes_mellitus,15.55
youtube,2020-06-15,nah habis lebaran ini aku sakit gigi biasanya munum obat 2 atau 3 kali udah sembuh.tpi kali ini udah habis obat beberapa tablet kok nggk sembuh sembuh,0.0,penjelasan_diabetes_mellitus,15.55
youtube,2020-06-15,kemudian 7 bulan kemudian aku cek lagi udah turun jdi 165.setelah itu aku nggk prnah cek lagi dok.nah bln agustus kemaren aku cek lagi gula darahku jdi 170.kemudian bln febroari aku cek lagi dok turun lagi jadi 100,0.0,penjelasan_diabetes_mellitus,15.55
youtube,2020-06-15,mau tanya dok.selama ini saya cek gula darah saya 7 tahun lalu 210.saya kaget dok.padahal aku juarang sekali yg namanya minum teh manis atau yg lain lainnya,0.0,penjelasan_diabetes_mellitus,15.55
youtube,2020-06-01,Trimakasih dok smoga bermanfaat,0.0,penjelasan_diabetes_mellitus,13.0
youtube,2020-05-25,"Kesemutan pada jari dan telapak tangan saat bangun tidur, apa termasuk gejala diabetes, ya dokter ?",0.0,penjelasan_diabetes_mellitus,10.4
youtube,2020-05-11,Terima kasih byk docter atas pencerahannya smg doctr sehat selalu,0.0,penjelasan_diabetes_mellitus,15.2
youtube,2020-05-05,"<a href=""https://tehdia-herbal-diabetes.business.site/?utm_source=gmb&amp;utm_medium=referral"">https://tehdia-herbal-diabetes.business.site/?utm_source=gmb&amp;utm_medium=referral</a> <br><br>TEHDIA merupakan ramuan eksklusif teh terbaik dan daun stevia yang mengandung senyawa stevosida. Steviosida merupakan bahan pemanis alami yang tidak berkalori dan dapat mengendalikan kadar gula darah (hipoglikemik). Mekanisme steviosida mengendalikan kadar gula darah adalah sebagai berikut: dalam tubuh steviosida akan mengalami hidrolisis di usus halus menjadi steviolbiosida yang dengan segera akan diubah menjadi steviol. Steviol ini yang akan meningkatkan aktivitas insulin di dalam tubuh sehingga kadar gula dalam darah akan menurun, sehingga stevia berpotensi untuk antidiabetes dan dapat mencegah penyakit Diabetes Melitus. <br><br>Daun stevia memiliki rasa manis sekitar 200 hingga 300 kali gula biasa, namun memiliki <br>nol kalori, sehingga daun stevia dapat digunakan sebagai gula pengganti alami (natural sweetener) yang lebih sehat dan tidak menyebabkan kenaikan gula darah, bahkan membantu mengendalikan kadar gula darah. TEHDIA menjadi satu-satunya teh manis alami yang diseduh tanpa mengunakan penambahan gula, sangat baik dinikmati oleh siapapun tanpa takut diabetes.<br><br>TEHDIA: Teh Manis Alami tanpa Takut Diabetes, merupakan minuman teh fungsional (nutrasetikal) yang mempunyai khasiat untuk membantu mengendalikan kadar gula darah, teh ini merupakan produk riset Fakultas Farmasi Unpad dan telah menerima sertifikasi dari LPPOM MUI sebagai produk halal.<br><br>Assalamu’alaikum saya Tovik Saleh <br>Yang di Bandung dan Daerah di Indonesia yang mau jadi reseller atau untuk konsumsi sendiri <br>085721204494 (Chatt Wa Online di PC) <br>Terima Kasih <br>Wassalamu’alaikum Wr. Wb.",0.0,penjelasan_diabetes_mellitus,15.75
